ID,W1
nl_1,1.8333333333333335
nl_2,0.9666666666666667
nl_3,1.0
nl_4,2.0
nl_5,0.2666666666666667
nl_6,0.6
nl_7,4.0
nl_8,4.0
nl_9,0.0
nl_10,0.0
nl_11,2.0
nl_12,2.0
nl_13,0.0
nl_14,0.7
nl_15,0.7000000000000001
nl_16,4.066666666666666
nl_17,3.7333333333333334
nl_18,0.0
nl_19,2.033333333333333
nl_20,2.0
nl_21,0.6666666666666666
nl_22,0.0
nl_23,0.0
nl_24,2.066666666666667
nl_25,3.833333333333333
nl_26,3.0
nl_27,0.19999999999999996
nl_28,3.366666666666667
nl_29,1.0
nl_30,2.0
es_1,2.0
es_2,2.0
es_3,1.4333333333333333
es_4,0.9333333333333333
es_5,5.0
es_6,0.4666666666666667
es_7,4.0
es_8,0.7
es_9,0.9666666666666668
es_10,0.0
es_11,2.0
es_12,1.0
es_13,2.8666666666666667
es_14,1.0
es_15,2.2
es_16,4.6
es_17,1.0666666666666667
es_18,0.0
es_19,2.6
es_20,1.0
es_21,0.0
es_22,0.0
es_23,1.0333333333333332
es_24,0.0
de_1,1.5333333333333334
de_2,2.0
de_3,2.0
de_4,3.0
de_5,1.0333333333333332
de_6,2.0
de_7,0.0
de_8,1.6666666666666667
de_9,6.0
de_10,2.0
de_11,0.0
de_12,2.0
de_13,0.0
de_14,2.0
de_15,2.0
de_16,4.0
de_17,0.0
de_18,2.7333333333333334
de_19,0.0
de_20,3.033333333333333
de_21,4.0
de_22,0.13333333333333333
de_23,2.0
de_24,4.0
de_25,5.0
de_26,0.0
de_27,1.9666666666666668
de_28,0.0
de_29,1.4
de_30,0.5
de_31,1.3
de_32,0.0
de_33,3.0
de_34,0.16666666666666663
de_35,1.1333333333333333
de_36,1.2
de_37,0.0
de_38,3.3000000000000003
pl_1,4.0
pl_2,1.8
pl_3,0.36666666666666664
pl_4,1.9
pl_5,3.0
pl_6,2.3666666666666667
pl_7,1.0
pl_8,1.0
pl_9,1.4333333333333333
pl_10,2.2
pl_11,1.6666666666666667
pl_12,4.0
pl_13,5.0
pl_14,2.0
pl_15,0.0
pl_16,2.0
pl_17,1.9666666666666668
pl_18,3.566666666666667
pl_19,2.0
pl_20,3.4
hu_1,3.8
hu_2,2.0
hu_3,0.0
hu_4,0.0
hu_5,0.0
hu_6,0.0
hu_7,4.0
hu_8,0.5
hu_9,0.0
hu_10,2.4
hu_11,0.06666666666666665
hu_12,0.0
hu_13,5.0
hu_14,2.0
hu_15,2.0
hu_16,1.6666666666666665
hu_17,4.533333333333333
hu_18,4.0
hu_19,3.6666666666666665
hu_20,2.4
hu_21,3.0
hu_22,0.09999999999999998
hu_23,0.06666666666666665
hu_24,1.0
hu_25,2.6
hu_28,2.833333333333333
hu_29,2.0
hu_30,2.0
hu_31,1.0
hu_32,1.8666666666666667
hu_33,2.066666666666667
hu_34,0.0
hu_36,4.0
hu_37,4.0
hu_38,4.0
hu_39,4.0
hu_40,1.0
it_1,1.0
it_2,3.8666666666666667
it_3,2.1
it_4,2.0
it_5,0.0
it_6,2.0
it_7,0.0
it_8,2.8333333333333335
it_9,5.0
it_10,4.0
it_11,4.0
it_12,0.4
it_13,0.0
it_14,4.0
it_15,1.7666666666666666
it_16,0.23333333333333328
it_17,1.1666666666666667
it_18,2.0
it_19,3.7666666666666666
it_20,2.0
it_21,2.0
it_22,3.8666666666666667
it_23,0.0
it_24,1.0
it_25,1.9
it_26,2.0
it_27,2.9
it_28,2.0
it_29,2.0
it_30,2.0
ch_18,2.0
ch_19,1.0
ch_20,2.0
ch_21,3.1333333333333333
ch_22,2.0
ch_23,3.5666666666666664
ch_24,0.23333333333333328
ch_25,0.2666666666666666
ch_26,2.0
ch_27,0.0
ch_28,4.0
ch_29,4.0
ch_30,0.0
ch_31,4.0
ch_32,2.0
ch_33,1.8333333333333335
ch_34,2.0
ch_35,1.1333333333333333
ch_36,4.0
ch_37,1.3
ch_38,0.0
ch_39,6.0
ch_40,0.0
ch_41,2.0
ch_42,1.3333333333333335
ch_43,0.0
ch_44,0.13333333333333333
ch_45,3.066666666666667
ch_46,4.0
ch_47,0.0
ch_48,0.0
ch_49,1.0
ch_50,1.0333333333333332
ch_51,0.9666666666666667
ch_52,2.0
ch_53,1.1
ch_54,3.0
ch_55,1.2666666666666666
ch_56,3.0
ch_57,1.0
ch_58,3.9333333333333336
ch_59,4.066666666666666
ch_0,4.0
ch_1,2.533333333333333
ch_2,2.0
ch_3,0.5666666666666665
ch_4,2.9333333333333336
ch_5,0.0
ch_6,2.0
ch_7,2.0
ch_8,0.0
ch_9,1.0
ch_10,5.133333333333334
ch_11,2.0
ch_12,2.0
ch_13,1.0
ch_14,1.0
ch_15,4.0
ch_16,0.0
ch_17,0.0
