ID,W1
nl_1,3.1
nl_2,3.0
nl_3,0.9333333333333333
nl_4,3.2
nl_5,3.0
nl_6,2.966666666666667
nl_7,0.0
nl_8,3.0
nl_9,3.0
nl_10,0.0
nl_11,0.0
nl_12,2.0
nl_13,0.4666666666666667
nl_14,0.0
nl_15,3.0
nl_16,3.0
nl_17,3.0
nl_18,3.0
nl_19,0.0
nl_20,2.0
nl_21,3.0
nl_22,3.0
nl_23,0.30000000000000004
nl_24,0.0
nl_25,2.0666666666666664
nl_26,1.0
nl_27,1.0
nl_28,2.0
nl_29,3.0
nl_30,3.0
es_1,3.0
es_2,2.0
es_3,2.0
es_4,0.0
es_5,3.5666666666666664
es_6,0.13333333333333333
es_7,3.4
es_8,2.3
es_9,3.033333333333333
es_10,0.6666666666666666
es_11,3.8
es_12,2.0
es_13,0.0
es_14,5.0
es_15,4.0
es_16,2.9333333333333336
es_17,0.8666666666666667
es_18,5.0
es_19,6.0
es_20,0.0
es_21,2.0666666666666664
es_22,4.0
es_23,2.9
es_24,3.0
de_1,3.0
de_2,3.0
de_3,3.0
de_4,3.0
de_5,3.0
de_6,4.0
de_7,3.066666666666667
de_8,0.0
de_9,5.833333333333333
de_10,3.0
de_11,0.0
de_12,1.0
de_13,0.0
de_14,3.0
de_15,3.0
de_16,3.0
de_17,3.0
de_18,3.3
de_19,1.0666666666666667
de_20,2.9333333333333336
de_21,3.0
de_22,2.0
de_23,3.0
de_24,5.0
de_25,5.0
de_26,3.0
de_27,0.0
de_28,2.1
de_29,0.0
de_30,0.0
de_31,3.0
de_32,5.0
de_33,2.9333333333333336
de_34,3.0
de_35,0.0
de_36,3.9
de_37,3.0
de_38,1.2333333333333334
pl_1,2.7666666666666666
pl_2,3.0
pl_3,3.0
pl_4,3.0
pl_5,3.0
pl_6,4.066666666666666
pl_7,3.0
pl_8,2.1999999999999997
pl_9,4.0
pl_10,2.0
pl_11,2.1
pl_12,3.0
pl_13,5.0
pl_14,0.0
pl_15,2.8666666666666667
pl_16,3.0
pl_17,4.0
pl_18,3.0
pl_19,3.0
pl_20,3.1
hu_1,0.0
hu_2,4.0
hu_3,2.0
hu_4,0.0
hu_5,0.0
hu_6,1.4
hu_7,3.0
hu_8,2.533333333333333
hu_9,0.0
hu_10,3.0
hu_11,3.0
hu_12,2.0
hu_13,6.0
hu_14,2.2666666666666666
hu_15,4.0
hu_16,3.0
hu_17,1.9333333333333333
hu_18,3.0
hu_19,3.0
hu_20,0.0
hu_21,0.0
hu_22,2.8666666666666667
hu_23,0.0
hu_24,2.8666666666666667
hu_25,2.066666666666667
hu_28,4.0
hu_29,3.0
hu_30,0.0
hu_31,3.0
hu_32,0.4
hu_33,2.0
hu_34,1.0
hu_36,3.0
hu_37,3.0
hu_38,3.0
hu_39,3.0
hu_40,2.666666666666667
it_1,4.0
it_2,3.0
it_3,4.0
it_4,0.0
it_5,0.0
it_6,2.3666666666666667
it_7,5.0
it_8,3.0
it_9,6.0
it_10,4.233333333333333
it_11,5.0
it_12,0.3666666666666667
it_13,0.0
it_14,3.0
it_15,0.9333333333333332
it_16,1.3666666666666667
it_17,3.0
it_18,1.0
it_19,0.8333333333333334
it_20,3.0
it_21,2.0
it_22,0.0
it_23,0.0
it_24,4.0
it_25,3.0
it_26,3.0
it_27,2.0
it_28,3.0
it_29,1.4333333333333333
it_30,3.0
ch_18,0.0
ch_19,3.0
ch_20,3.0
ch_21,3.0
ch_22,3.0
ch_23,3.0
ch_24,3.166666666666667
ch_25,2.0
ch_26,1.0333333333333334
ch_27,3.0
ch_28,3.0
ch_29,3.0
ch_30,0.0
ch_31,6.0
ch_32,3.0
ch_33,3.0
ch_34,0.0
ch_35,3.0
ch_36,3.5
ch_37,2.7333333333333334
ch_38,1.8666666666666667
ch_39,0.0
ch_40,0.0
ch_41,3.0
ch_42,2.0
ch_43,0.0
ch_44,3.0
ch_45,3.0
ch_46,3.8
ch_47,0.0
ch_48,3.0
ch_49,3.0
ch_50,3.0
ch_51,0.9333333333333335
ch_52,2.0
ch_53,3.466666666666667
ch_54,3.0
ch_55,2.0
ch_56,2.533333333333333
ch_57,0.4
ch_58,4.0
ch_59,4.0
ch_0,3.0
ch_1,3.0
ch_2,1.7333333333333334
ch_3,2.0
ch_4,3.0
ch_5,3.0
ch_6,2.0
ch_7,3.0
ch_8,0.0
ch_9,3.0
ch_10,1.0
ch_11,3.0
ch_12,2.9333333333333336
ch_13,2.2333333333333334
ch_14,3.0
ch_15,3.0
ch_16,3.0
ch_17,0.0
