ID,MU
nl_1_1000000,0.09310344827586205
nl_2_1000000,0.0
nl_3_1000000,0.0
nl_4_1000000,0.16551724137931034
nl_5_1000000,0.0
nl_6_1000000,0.03333333333333332
nl_7_1000000,0.0
nl_8_1000000,0.0
nl_9_1000000,0.0
nl_10_1000000,0.0
nl_11_1000000,0.0
nl_12_1000000,0.0
nl_13_1000000,0.25747126436781614
nl_14_1000000,0.0
nl_15_1000000,0.0
nl_16_1000000,0.0
nl_17_1000000,0.0
nl_18_1000000,0.0
nl_19_1000000,0.0
nl_20_1000000,0.0
nl_21_1000000,0.0
nl_22_1000000,0.0
nl_23_1000000,0.21724137931034485
nl_24_1000000,0.0
nl_25_1000000,0.06436781609195402
nl_26_1000000,0.0
nl_27_1000000,0.0
nl_28_1000000,0.0
nl_29_1000000,0.0
nl_30_1000000,0.0
es_1_1000000,0.0
es_2_1000000,0.0
es_3_1000000,0.0
es_4_1000000,0.0
es_5_1000000,0.25402298850574717
es_6_1000000,0.0
es_7_1000000,0.0
es_8_1000000,0.0
es_9_1000000,0.0
es_10_1000000,0.22988505747126448
es_11_1000000,0.0
es_12_1000000,0.0
es_13_1000000,0.0
es_14_1000000,0.0
es_15_1000000,0.0
es_16_1000000,0.0
es_17_1000000,0.11954022988505751
es_18_1000000,0.0
es_19_1000000,0.0
es_20_1000000,0.0
es_21_1000000,0.0
es_22_1000000,0.0
es_23_1000000,0.0
es_24_1000000,0.0
de_1_1000000,0.0
de_2_1000000,0.0
de_3_1000000,0.0
de_4_1000000,0.0
de_5_1000000,0.0
de_6_1000000,0.0
de_7_1000000,0.0
de_8_1000000,0.0
de_9_1000000,0.0
de_10_1000000,0.0
de_11_1000000,0.0
de_12_1000000,0.0
de_13_1000000,0.0
de_14_1000000,0.0
de_15_1000000,0.0
de_16_1000000,0.0
de_17_1000000,0.0
de_18_1000000,0.0
de_19_1000000,0.06436781609195402
de_20_1000000,0.06436781609195402
de_21_1000000,0.0
de_22_1000000,0.0
de_23_1000000,0.0
de_24_1000000,0.0
de_25_1000000,0.0
de_26_1000000,0.0
de_27_1000000,0.0
de_28_1000000,0.09310344827586209
de_29_1000000,0.0
de_30_1000000,0.0
de_31_1000000,0.0
de_32_1000000,0.0
de_33_1000000,0.06436781609195402
de_34_1000000,0.0
de_35_1000000,0.0
de_36_1000000,0.0
de_37_1000000,0.0
de_38_1000000,0.18505747126436778
pl_1_1000000,0.0
pl_2_1000000,0.0
pl_3_1000000,0.0
pl_4_1000000,0.0
pl_5_1000000,0.0
pl_6_1000000,0.0
pl_7_1000000,0.0
pl_8_1000000,0.0
pl_9_1000000,0.0
pl_10_1000000,0.0
pl_11_1000000,0.0
pl_12_1000000,0.0
pl_13_1000000,0.0
pl_14_1000000,0.0
pl_15_1000000,0.11954022988505747
pl_16_1000000,0.0
pl_17_1000000,0.0
pl_18_1000000,0.0
pl_19_1000000,0.0
pl_20_1000000,0.0
hu_1_1000000,0.0
hu_2_1000000,0.0
hu_3_1000000,0.0
hu_4_1000000,0.0
hu_5_1000000,0.0
hu_6_1000000,0.0
hu_7_1000000,0.0
hu_8_1000000,0.25747126436781614
hu_9_1000000,0.0
hu_10_1000000,0.0
hu_11_1000000,0.0
hu_12_1000000,0.0
hu_13_1000000,0.0
hu_14_1000000,0.20229885057471259
hu_15_1000000,0.0
hu_16_1000000,0.0
hu_17_1000000,0.0
hu_18_1000000,0.0
hu_19_1000000,0.0
hu_20_1000000,0.0
hu_21_1000000,0.0
hu_22_1000000,0.0
hu_23_1000000,0.0
hu_24_1000000,0.0
hu_25_1000000,0.06436781609195402
hu_28_1000000,0.0
hu_29_1000000,0.0
hu_30_1000000,0.0
hu_31_1000000,0.0
hu_32_1000000,0.0
hu_33_1000000,0.0
hu_34_1000000,0.0
hu_36_1000000,0.0
hu_37_1000000,0.0
hu_38_1000000,0.0
hu_39_1000000,0.0
hu_40_1000000,0.22988505747126434
it_1_1000000,0.0
it_2_1000000,0.0
it_3_1000000,0.0
it_4_1000000,0.0
it_5_1000000,0.0
it_6_1000000,0.24022988505747128
it_7_1000000,0.0
it_8_1000000,0.0
it_9_1000000,0.0
