base_id,AS,n_variants
nl_1,0.0,5
nl_2,0.09509259259259262,4
nl_3,0.0,4
nl_4,0.18088888888888882,5
nl_5,0.0,4
nl_6,0.0008888888888888825,5
nl_7,0.0008888888888888944,5
nl_8,0.0,4
nl_9,0.05666666666666667,4
nl_10,2.7,5
nl_11,0.02699999999999997,5
nl_12,0.0,5
nl_13,0.056888888888888864,5
nl_14,2.675925925925925,3
nl_15,0.08027777777777771,4
nl_16,0.12799999999999992,5
nl_17,0.21777777777777793,4
nl_18,2.7,5
nl_19,0.0,3
nl_20,2.5068888888888887,5
nl_21,0.3,5
nl_22,0.0,5
nl_23,1.9755555555555555,4
nl_24,0.8711111111111113,4
nl_25,1.2,5
nl_26,0.010000000000000018,4
nl_27,2.0025,4
nl_28,0.8913888888888889,4
nl_29,0.010888888888888892,5
nl_30,5.333333333333333,3
es_1,0.1877777777777778,4
es_2,1.005925925925926,3
es_3,0.0,3
es_4,3.0,3
es_5,0.20472222222222225,4
es_6,0.06022222222222216,5
es_7,0.2052222222222222,5
es_8,0.0,3
es_9,0.0,5
es_10,0.0,5
es_11,0.0,5
es_12,0.0,3
es_13,2.0,5
es_14,0.20299999999999996,5
es_15,0.054222222222222206,5
es_16,0.19999999999999998,5
es_17,0.0,5
es_18,0.0,4
es_19,0.0,5
es_20,0.0,5
es_21,1.6820000000000004,5
es_22,3.0,3
es_23,0.0,5
es_24,0.4721296296296298,4
de_1,1.0086666666666666,5
de_2,0.24799999999999997,5
de_3,0.027444444444444403,5
de_4,0.0,4
de_5,0.19999999999999996,5
de_6,0.002499999999999982,4
de_7,0.0,4
de_8,3.5,5
de_9,0.027777777777777766,4
de_10,1.5733333333333333,4
de_11,0.0,5
de_12,2.7,5
de_13,0.0,4
de_14,0.0,3
de_15,2.1522222222222225,4
de_16,1.8,5
de_17,2.6069444444444447,4
de_18,0.19999999999999998,5
de_19,2.013333333333333,3
de_20,2.37,3
de_21,0.0,5
de_22,2.8555555555555556,5
de_23,0.0,5
de_24,0.0,5
de_25,0.21300000000000002,5
de_26,0.21777777777777788,4
de_27,0.11111111111111105,4
de_28,2.228888888888889,4
de_29,1.3868888888888895,5
de_30,2.513611111111111,4
de_31,0.008000000000000014,5
de_32,2.8416666666666663,5
de_33,2.2737037037037036,3
de_34,0.131111111111111,4
de_35,0.0,4
de_36,0.13888888888888873,5
de_37,1.1086666666666671,5
de_38,1.886888888888889,5
pl_1,2.25,4
pl_2,0.013555555555555545,5
pl_3,0.056888888888888864,5
pl_4,0.0,5
pl_5,0.19999999999999996,5
pl_6,1.6529999999999998,5
pl_7,0.0,5
pl_8,0.007037037037037054,4
pl_9,0.0899999999999999,4
pl_10,0.08888888888888886,5
pl_11,0.33333333333333337,3
pl_12,1.6968888888888891,5
pl_13,0.0,3
pl_14,2.0702222222222226,5
pl_15,0.0,4
pl_16,0.36703703703703666,3
pl_17,0.0,4
pl_18,0.0,3
pl_19,0.0,5
pl_20,0.0008888888888888825,5
hu_1,0.008000000000000014,5
hu_2,0.9368888888888889,5
hu_3,3.5780000000000003,5
hu_4,0.888888888888889,4
hu_5,0.0,4
hu_6,3.0,4
hu_7,0.11370370370370358,3
hu_8,0.001111111111111103,4
hu_9,1.4502222222222219,5
hu_10,0.2208888888888888,5
hu_11,0.08722222222222217,5
hu_12,2.45,5
hu_13,1.0222222222222221,5
hu_14,2.9025,4
hu_15,0.7585555555555558,5
hu_16,0.17422222222222228,5
hu_17,1.0,4
hu_18,0.0,4
hu_19,0.0,2
hu_20,0.7299999999999999,4
hu_21,1.1377777777777784,4
hu_22,0.0,3
hu_23,0.0,5
hu_24,0.0,4
hu_25,0.9691666666666667,4
hu_28,0.248,5
hu_29,0.0,4
hu_30,0.0,4
hu_31,0.002499999999999982,4
hu_32,0.013611111111111115,4
hu_33,0.028148148148148085,3
hu_34,0.0,3
hu_36,0.21800000000000005,5
hu_37,0.30000000000000004,5
hu_38,0.08033333333333333,5
hu_39,0.05064814814814816,4
hu_40,0.06444444444444454,4
it_1,0.31259259259259264,3
it_2,3.0,4
it_3,0.23361111111111119,4
it_4,0.0,3
it_5,2.372,5
it_6,1.0,3
it_7,0.14694444444444443,4
it_8,0.018055555555555554,4
it_9,0.0,4
it_10,0.0,5
it_11,0.0,5
it_12,1.7808888888888887,5
it_13,1.9599999999999997,4
it_14,0.07200000000000002,5
it_15,0.0,4
it_16,0.12533333333333335,5
it_17,0.033611111111111036,4
it_18,0.08481481481481487,3
it_19,0.016574074074074067,4
it_20,0.19999999999999996,5
it_21,2.3225925925925925,3
it_22,0.0,5
it_23,2.4491666666666667,4
it_24,0.75,3
it_25,0.11138888888888891,4
it_26,0.0,3
it_27,0.0008888888888888944,5
it_28,0.25,4
it_29,0.10027777777777791,4
it_30,0.0,4
ch_18,0.0,4
ch_19,0.047,5
ch_20,0.0,4
ch_21,0.162,5
ch_22,0.18555555555555556,5
ch_23,0.19422222222222224,5
ch_24,2.25,4
ch_25,0.0,4
ch_26,0.003555555555555554,5
ch_27,2.25,4
ch_28,1.845462962962963,4
ch_29,3.8225000000000002,4
ch_30,0.8675555555555559,5
ch_31,0.0,3
ch_32,0.0,4
ch_33,0.0,5
ch_34,1.2959259259259255,4
ch_35,0.0,4
ch_36,0.30000000000000004,5
ch_37,2.703555555555556,5
ch_38,0.0,3
ch_39,0.0,4
ch_40,2.000277777777778,4
ch_41,1.6942222222222223,5
ch_42,1.6481481481481481,4
ch_43,0.0781111111111112,5
ch_44,0.0,4
ch_45,0.0,4
ch_46,0.19999999999999996,5
ch_47,0.2914814814814816,4
ch_48,3.9425000000000003,4
ch_49,0.0,4
ch_50,0.4544444444444446,5
ch_51,1.5655555555555554,4
ch_52,0.8862037037037038,4
ch_53,0.1247777777777777,5
ch_54,0.0,5
ch_55,0.2128703703703705,4
ch_56,0.0,4
ch_57,0.3333333333333333,4
ch_58,0.03435185185185193,4
ch_59,0.2322222222222222,4
ch_0,0.21777777777777793,4
ch_1,0.09222222222222205,4
ch_2,0.0,3
ch_3,1.2162962962962964,4
ch_4,0.0,4
ch_5,0.0,5
ch_6,1.1542222222222225,5
ch_7,0.0,4
ch_8,2.3002777777777776,4
ch_9,2.2542222222222223,5
ch_10,0.20966666666666664,5
ch_11,3.1024999999999996,4
ch_12,1.988,5
ch_13,0.25,4
ch_14,0.0,4
ch_15,0.01777777777777777,4
ch_16,2.7,5
ch_17,1.7808888888888887,5
