base_id,AS,n_variants
nl_1,0.7737037037037036,7
nl_2,1.453962962962963,6
nl_3,0.6624074074074072,6
nl_4,3.08994708994709,7
nl_5,0.09733333333333333,6
nl_6,0.586931216931217,7
nl_7,0.0051322751322751175,7
nl_8,4.017962962962963,6
nl_9,1.0666666666666667,6
nl_10,0.031111111111111128,7
nl_11,0.7224867724867726,7
nl_12,0.9523809523809522,7
nl_13,0.2591534391534391,7
nl_14,1.0702222222222222,5
nl_15,0.6704074074074076,6
nl_16,5.9523809523809526,7
nl_17,2.8,6
nl_18,2.0032275132275132,7
nl_19,2.4038888888888885,5
nl_20,0.30291005291005296,7
nl_21,0.376984126984127,7
nl_22,1.3617460317460317,7
nl_23,0.0,6
nl_24,0.0001851851851851839,6
nl_25,0.4557142857142859,7
nl_26,2.441185185185186,6
nl_27,0.0,6
nl_28,0.2666666666666667,6
nl_29,0.7254497354497356,7
nl_30,4.8,5
es_1,0.6046296296296296,6
es_2,2.0,5
es_3,0.0,5
es_4,0.07777777777777775,5
es_5,5.499444444444444,6
es_6,1.2857142857142858,7
es_7,2.682539682539682,7
es_8,1.1235555555555554,5
es_9,3.6666666666666665,7
es_10,0.5714285714285715,7
es_11,3.422857142857143,7
es_12,3.293,5
es_13,0.03582010582010582,7
es_14,2.227936507936508,7
es_15,4.6236507936507945,7
es_16,4.6190476190476195,7
es_17,1.9265608465608464,7
es_18,0.2484444444444443,6
es_19,5.045925925925925,7
es_20,0.9523809523809522,7
es_21,0.00015873015873015756,7
es_22,0.15022222222222223,5
es_23,0.698042328042328,7
es_24,0.6666666666666666,6
de_1,1.5028571428571427,7
de_2,0.9523809523809522,7
de_3,1.6017460317460317,7
de_4,2.337962962962963,6
de_5,2.3492063492063493,7
de_6,1.2,6
de_7,1.311,6
de_8,1.0946031746031746,7
de_9,6.666666666666667,6
de_10,0.5047777777777775,6
de_11,0.6101587301587302,7
de_12,1.9966666666666668,7
de_13,1.2,6
de_14,1.1620000000000001,5
de_15,1.102962962962963,6
de_16,0.9523809523809522,7
de_17,1.2,6
de_18,1.364021164021164,7
de_19,1.1235555555555554,5
de_20,0.46133333333333315,5
de_21,3.80952380952381,7
de_22,0.9254497354497354,7
de_23,0.9523809523809522,7
de_24,3.7847619047619045,7
de_25,5.80952380952381,7
de_26,2.5785185185185187,6
de_27,0.36907407407407405,6
de_28,0.7,6
de_29,0.5784656084656087,7
de_30,0.9666666666666665,6
de_31,0.6277777777777779,7
de_32,2.511746031746032,7
de_33,0.3755555555555554,5
de_34,1.0074074074074073,6
de_35,2.166666666666667,6
de_36,2.111269841269841,7
de_37,0.0,7
de_38,1.7573015873015876,7
pl_1,2.6268518518518524,6
pl_2,0.8547619047619048,7
pl_3,1.5154497354497358,7
pl_4,0.9523809523809522,7
pl_5,2.513492063492064,7
pl_6,2.271005291005291,7
pl_7,0.8055555555555555,7
pl_8,0.9573333333333333,6
pl_9,0.6478518518518519,6
pl_10,0.584761904761905,7
pl_11,1.3085555555555555,5
pl_12,2.1995767195767195,7
pl_13,6.199999999999999,5
pl_14,1.3112698412698414,7
pl_15,1.057185185185185,6
pl_16,0.6458888888888891,5
pl_17,1.4567777777777777,6
pl_18,0.8,5
pl_19,0.619047619047619,7
pl_20,1.7847619047619048,7
hu_1,2.4133333333333336,7
hu_2,1.1428571428571426,7
hu_3,2.8057142857142856,7
hu_4,0.0,6
hu_5,0.0,6
hu_6,0.0,6
hu_7,4.8,5
hu_8,0.0,6
hu_9,0.422169312169312,7
hu_10,0.9523809523809522,7
hu_11,1.0266137566137565,7
hu_12,0.6190476190476191,7
hu_13,5.992222222222221,7
hu_14,0.8296296296296296,6
hu_15,3.4727513227513227,7
hu_16,1.999523809523809,7
hu_17,2.5518518518518523,6
hu_18,2.234666666666667,6
hu_19,2.848888888888889,4
hu_20,1.8117407407407409,6
hu_21,0.7140740740740741,6
hu_22,0.049999999999999996,5
hu_23,0.5128571428571429,7
hu_24,0.9211851851851854,6
hu_25,1.460740740740741,6
hu_28,4.0737037037037025,7
hu_29,1.0666666666666667,6
hu_30,1.2866666666666668,6
hu_31,0.8544074074074075,6
hu_32,0.6461111111111111,6
hu_33,4.40088888888889,5
hu_34,1.0719999999999998,5
hu_36,1.0184126984126982,7
hu_37,3.80952380952381,7
hu_38,3.7612698412698413,7
hu_39,4.2666666666666675,6
hu_40,1.0496296296296297,6
it_1,3.2,5
it_2,1.115740740740741,6
it_3,2.685185185185185,6
it_4,0.7875555555555556,5
it_5,0.0,7
it_6,1.422222222222222,5
it_7,1.5,6
it_8,3.9364444444444446,6
it_9,6.666666666666666,6
it_10,3.7466666666666666,7
it_11,3.80952380952381,7
it_12,1.2857142857142858,7
it_13,0.0,6
it_14,1.1269312169312171,7
it_15,2.128,6
it_16,0.7413756613756615,7
it_17,5.044777777777778,6
it_18,2.6252222222222223,5
it_19,1.057962962962963,6
it_20,2.3055555555555554,7
it_21,2.787555555555556,5
it_22,0.14285714285714288,7
it_23,2.031407407407407,6
it_24,1.2255555555555557,5
it_25,2.8,6
it_26,1.2,5
it_27,1.27,7
it_28,1.0666666666666667,6
it_29,1.0666666666666667,6
it_30,1.0666666666666667,6
ch_18,0.1666666666666666,6
ch_19,2.851640211640212,7
ch_20,1.2,6
ch_21,1.8366666666666667,7
ch_22,2.4761904761904767,7
ch_23,3.0,7
ch_24,1.2,6
ch_25,0.6407407407407406,6
ch_26,0.6606878306878304,7
ch_27,1.0016666666666665,6
ch_28,0.8296296296296297,6
ch_29,6.0,6
ch_30,0.5714285714285715,7
ch_31,6.467555555555556,5
ch_32,0.454074074074074,6
ch_33,3.3014285714285716,7
ch_34,1.4607407407407407,6
ch_35,1.133777777777778,6
ch_36,3.80952380952381,7
ch_37,0.9357142857142856,7
ch_38,0.0,5
ch_39,5.121666666666666,6
ch_40,0.0029629629629629815,6
ch_41,0.00994708994708994,7
ch_42,0.29351851851851835,6
ch_43,0.4950793650793652,7
ch_44,0.2029629629629631,6
ch_45,4.2666666666666675,6
ch_46,3.80952380952381,7
ch_47,0.21585185185185202,6
ch_48,5.185185185185185,6
ch_49,0.9375185185185184,6
ch_50,0.8764550264550263,7
ch_51,0.6416666666666666,6
ch_52,0.402962962962963,6
ch_53,3.238095238095239,7
ch_54,4.904761904761905,7
ch_55,0.4455185185185185,6
ch_56,1.095,6
ch_57,0.6666666666666665,6
ch_58,5.4535185185185195,6
ch_59,5.1484444444444435,6
ch_0,5.5,6
ch_1,5.5,6
ch_2,3.200000000000001,5
ch_3,0.24000000000000005,6
ch_4,2.6666666666666665,6
ch_5,0.9584126984126984,7
ch_6,0.561269841269841,7
ch_7,1.0666666666666667,6
ch_8,0.0,6
ch_9,1.8977248677248681,7
ch_10,2.9329629629629625,7
ch_11,2.6666666666666665,6
ch_12,1.1477777777777778,7
ch_13,2.555740740740741,6
ch_14,0.9646296296296295,6
ch_15,6.666666666666666,6
ch_16,0.5714285714285715,7
ch_17,0.4292063492063492,7
