ID,MU
nl_1_0010000,0.0
nl_2_0010000,0.0
nl_3_0010000,0.06436781609195404
nl_4_0010000,0.0
nl_5_0010000,0.0
nl_6_0010000,0.0
nl_7_0010000,0.0
nl_8_0010000,0.0
nl_9_0010000,0.0
nl_10_0010000,0.0
nl_11_0010000,0.0
nl_12_0010000,0.0
nl_13_0010000,0.0
nl_14_0010000,0.0
nl_15_0010000,0.0
nl_16_0010000,0.0
nl_17_0010000,0.0
nl_18_0010000,0.0
nl_19_0010000,0.0
nl_20_0010000,0.0
nl_21_0010000,0.0
nl_22_0010000,0.0
nl_23_0010000,0.0
nl_24_0010000,0.0
nl_25_0010000,0.0
nl_26_0010000,0.0
nl_27_0010000,0.0
nl_28_0010000,0.0
nl_29_0010000,0.0
nl_30_0010000,0.0
es_1_0010000,0.0
es_2_0010000,0.0
es_3_0010000,0.0
es_4_0010000,0.0
es_5_0010000,0.0
es_6_0010000,0.11954022988505751
es_7_0010000,0.24827586206896554
es_8_0010000,1.0448275862068968
es_9_0010000,0.03333333333333332
es_10_0010000,0.0
es_11_0010000,0.16551724137931034
es_12_0010000,0.0
es_13_0010000,0.0
es_14_0010000,0.0
es_15_0010000,0.0
es_16_0010000,0.13333333333333325
es_17_0010000,0.0
es_18_0010000,0.0
es_19_0010000,0.0
es_20_0010000,0.0
es_21_0010000,0.06436781609195402
es_22_0010000,0.0
es_23_0010000,0.09310344827586205
es_24_0010000,0.0
de_1_0010000,0.0
de_2_0010000,0.0
de_3_0010000,0.0
de_4_0010000,0.0
de_5_0010000,0.0
de_6_0010000,0.0
de_7_0010000,0.06436781609195402
de_8_0010000,0.0
de_9_0010000,0.14367816091954022
de_10_0010000,0.0
de_11_0010000,0.0
de_12_0010000,0.0
de_13_0010000,0.0
de_14_0010000,0.0
de_15_0010000,0.0
de_16_0010000,0.0
de_17_0010000,0.0
de_18_0010000,0.21724137931034485
de_19_0010000,0.0
de_20_0010000,0.0
de_21_0010000,0.0
de_22_0010000,0.0
de_23_0010000,0.0
de_24_0010000,0.0
de_25_0010000,0.0
de_26_0010000,0.0
de_27_0010000,0.0
de_28_0010000,0.0
de_29_0010000,0.0
de_30_0010000,0.0
de_31_0010000,0.0
de_32_0010000,0.0
de_33_0010000,0.0
de_34_0010000,0.0
de_35_0010000,0.0
de_36_0010000,0.43793103448275866
de_37_0010000,0.0
de_38_0010000,0.0
pl_1_0010000,0.18505747126436778
pl_2_0010000,0.0
pl_3_0010000,0.0
pl_4_0010000,0.0
pl_5_0010000,0.0
pl_6_0010000,0.06436781609195402
pl_7_0010000,0.0
pl_8_0010000,1.8206896551724139
pl_9_0010000,0.0
pl_10_0010000,0.0
pl_11_0010000,0.09310344827586205
pl_12_0010000,0.0
pl_13_0010000,0.0
pl_14_0010000,0.0
pl_15_0010000,0.0
pl_16_0010000,0.0
pl_17_0010000,0.0
pl_18_0010000,0.0
pl_19_0010000,0.0
pl_20_0010000,0.0931034482758621
hu_1_0010000,0.0
hu_2_0010000,0.0
hu_3_0010000,0.0
hu_4_0010000,0.0
hu_5_0010000,0.0
hu_6_0010000,2.2344827586206897
hu_7_0010000,0.0
hu_8_0010000,0.0
hu_9_0010000,0.0
hu_10_0010000,0.0
hu_11_0010000,0.0
hu_12_0010000,0.0
hu_13_0010000,0.0
hu_14_0010000,0.0
hu_15_0010000,0.0
hu_16_0010000,0.0
hu_17_0010000,0.06436781609195402
hu_18_0010000,0.0
hu_19_0010000,0.0
hu_20_0010000,0.0
hu_21_0010000,0.0
hu_22_0010000,0.11954022988505747
hu_23_0010000,0.0
hu_24_0010000,0.1195402298850575
hu_25_0010000,0.0
hu_28_0010000,0.0
hu_29_0010000,0.0
hu_30_0010000,0.0
hu_31_0010000,0.0
hu_32_0010000,0.24827586206896549
hu_33_0010000,0.0
hu_34_0010000,0.0
hu_36_0010000,0.0
hu_37_0010000,0.0
hu_38_0010000,0.0
hu_39_0010000,0.0
hu_40_0010000,0.0
it_1_0010000,0.0
it_2_0010000,0.0
it_3_0010000,0.0
it_4_0010000,0.0
it_5_0010000,0.0
it_6_0010000,0.0
it_7_0010000,0.0
it_8_0010000,0.0
it_9_0010000,0.0
it_10_0010000,0.18505747126436778
it_11_0010000,0.0
it_12_0010000,0.0
it_13_0010000,0.0
it_14_0010000,0.0
it_15_0010000,0.18505747126436778
it_16_0010000,0.0
it_17_0010000,0.0
it_18_0010000,0.0
it_19_0010000,0.0
it_20_0010000,0.0
it_21_0010000,0.0
it_22_0010000,0.0
it_23_0010000,0.0
it_24_0010000,0.0
it_25_0010000,0.0
it_26_0010000,0.0
it_27_0010000,0.0
it_28_0010000,0.0
it_29_0010000,0.0
it_30_0010000,0.0
ch_18_0010000,0.0
ch_19_0010000,0.0
ch_20_0010000,0.0
ch_21_0010000,0.0
ch_22_0010000,0.0
ch_23_0010000,0.0
ch_24_0010000,0.09310344827586205
ch_25_0010000,0.0
ch_26_0010000,0.0
ch_27_0010000,0.0
ch_28_0010000,0.0
ch_29_0010000,0.0
ch_30_0010000,0.0
ch_31_0010000,0.0
ch_32_0010000,0.0
ch_33_0010000,0.0
ch_34_0010000,0.0
ch_35_0010000,0.0
ch_36_0010000,0.25862068965517243
ch_37_0010000,0.0
ch_38_0010000,0.25747126436781614
ch_39_0010000,0.0
ch_40_0010000,0.0
ch_41_0010000,0.0
ch_42_0010000,0.0
ch_43_0010000,0.0
ch_44_0010000,0.0
ch_45_0010000,0.0
ch_46_0010000,0.0
ch_47_0010000,0.0
ch_48_0010000,0.0
ch_49_0010000,0.0
ch_50_0010000,0.0
ch_51_0010000,0.0
ch_52_0010000,0.0
ch_53_0010000,0.24827586206896554
ch_54_0010000,0.0
ch_55_0010000,0.0
ch_56_0010000,0.25747126436781614
ch_57_0010000,0.24827586206896549
ch_58_0010000,0.0
ch_59_0010000,0.0
ch_0_0010000,0.0
ch_1_0010000,0.0
ch_2_0010000,0.09310344827586207
ch_3_0010000,0.0
ch_4_0010000,0.0
ch_5_0010000,0.0
ch_6_0010000,0.0
ch_7_0010000,0.0
ch_8_0010000,0.0
ch_9_0010000,0.0
ch_10_0010000,0.0
ch_11_0010000,0.0
ch_12_0010000,0.0
ch_13_0010000,0.0
ch_14_0010000,0.0
ch_15_0010000,0.0
ch_16_0010000,0.0
ch_17_0010000,0.0
